Patient_ID,Status,Tumor_Voxels,Tumor_Slices,LBP_Pixels,LBP_Mean,LBP_Variance,LBP_Uniformity,LBP_Entropy,Validation,Error
LUNG1-001,SUCCESS,54639,21,54639,131.2854554439137,7559.807294266757,0.016885077335815454,6.594030581814567,PASS,
LUNG1-002,SUCCESS,125531,26,125531,129.10462754220072,8178.220533747526,0.01647220259753349,6.946282223016565,PASS,
LUNG1-003,SUCCESS,12159,17,12159,129.9473640924418,8125.007509911929,0.015823773875444168,6.796934491247148,PASS,
LUNG1-004,SUCCESS,29521,36,29521,133.92459605026932,8689.126592961211,0.015924396036371483,6.875894177117011,PASS,
LUNG1-005,SUCCESS,29176,24,29176,125.66993419248698,8168.319011045847,0.015814743426410025,6.926545247930987,PASS,
LUNG1-006,SUCCESS,27358,23,27358,133.62318151911688,7821.426141467965,0.016099013119955437,6.649291686203519,PASS,
LUNG1-007,SUCCESS,4367,10,4367,115.73849324479048,8307.590876868686,0.0266873944617313,5.950476536706209,PASS,
LUNG1-008,SUCCESS,14272,15,14272,123.08281950672645,7890.226745189395,0.015947185699616923,6.851759427995502,PASS,
LUNG1-009,SUCCESS,34445,22,34445,123.87797938742925,8166.384675493261,0.01534310242454637,6.960697858455107,PASS,
LUNG1-010,SUCCESS,5634,13,5634,125.55324813631523,8318.84815860119,0.01623560942495163,6.875534977452817,PASS,
LUNG1-011,SUCCESS,27882,14,27882,125.38957033211392,8222.29949383303,0.014776416856838873,6.828967949638013,PASS,
LUNG1-012,SUCCESS,90600,29,90600,129.87514348785874,8256.478009085373,0.014687472284354002,6.980798637343666,PASS,
LUNG1-013,SUCCESS,5088,8,5088,132.69791666666666,8465.366096288653,0.015771478580752344,6.876088526123197,PASS,
LUNG1-014,SUCCESS,3468,11,3468,121.34025374855824,7554.245819082094,0.01896379353695478,6.331273326623734,PASS,
LUNG1-015,SUCCESS,1636,5,1636,118.65342298288508,7334.121326913995,0.02157895995361099,6.168769866981366,PASS,
LUNG1-016,SUCCESS,39731,22,39731,129.34562432357606,8212.879813918316,0.016803002330057014,6.92683686364267,PASS,
LUNG1-017,SUCCESS,78563,43,78563,123.99457760014256,8102.585589782182,0.016263031329327805,6.914042418146529,PASS,
LUNG1-018,SUCCESS,51102,24,51102,132.02739618801613,8408.231295161379,0.016361123663312688,6.940097165490494,PASS,
LUNG1-019,SUCCESS,56796,13,56796,131.6084935558842,8581.214178158825,0.01779895592416827,6.9917634956071755,PASS,
LUNG1-020,SUCCESS,30846,19,30846,127.18747973805355,8151.634922021488,0.015504565962038697,6.733731954608356,PASS,
LUNG1-021,SUCCESS,75764,29,75764,130.46490417612588,7658.938488994831,0.01685040812672975,6.718722872655738,PASS,
LUNG1-022,SUCCESS,38555,27,38555,129.6821942679289,7909.124391813381,0.016153363226723602,6.659757599141428,PASS,
LUNG1-023,SUCCESS,230950,36,230950,129.78942628274518,8612.08607654896,0.019456722806075848,6.9882644339261315,PASS,
LUNG1-024,SUCCESS,7708,13,7708,120.79644525168655,7830.223874234547,0.017406079558261605,6.638793857103896,PASS,
LUNG1-025,SUCCESS,36781,24,36781,128.7719202849297,7256.016792345783,0.01998243237518858,6.575077053563671,PASS,
LUNG1-026,SUCCESS,65719,48,65719,123.84532631354708,8177.772101553237,0.014851096236037004,6.880433129128567,PASS,
LUNG1-027,SUCCESS,290,3,290,141.15862068965515,8834.609322235434,0.08932223543400714,4.452535929450782,PASS,
LUNG1-028,SUCCESS,9056,14,9056,127.79041519434627,7369.359563608532,0.02120521778895978,6.295240662734792,PASS,
LUNG1-029,SUCCESS,16251,15,16251,130.94363423789306,7787.611615836681,0.016603983352187723,6.571697431039538,PASS,
