Feature,Patients_Available,Total_Patients,Coverage_Percent
Spectral_Energy,420,422,99.52606635071089
Spectral_Entropy,420,422,99.52606635071089
Dominant_Frequency,420,422,99.52606635071089
Fundamental_Period,420,422,99.52606635071089
Dominant_Orientation,420,422,99.52606635071089
Radial_Mean,420,422,99.52606635071089
Radial_Variance,420,422,99.52606635071089
Radial_Peak_Frequency,420,422,99.52606635071089
Angular_Mean,420,422,99.52606635071089
Angular_Variance,420,422,99.52606635071089
Angular_Peak_Orientation,420,422,99.52606635071089
