PROJECT 7 - RADIOMICS
STEP 13 - SPECTRAL TEXTURE - ALL PATIENTS
===========================================================================

TOTAL PATIENTS: 422
SUCCESSFUL PATIENTS: 420
FAILED PATIENTS: 2
SUCCESS RATE: 99.53%

SPECTRAL FEATURES
---------------------------------------------------------------------------
Spectral_Energy
Spectral_Entropy
Dominant_Frequency
Fundamental_Period
Dominant_Orientation
Radial_Mean
Radial_Variance
Radial_Peak_Frequency
Angular_Mean
Angular_Variance
Angular_Peak_Orientation

METHOD
---------------------------------------------------------------------------
2-D Fourier transform was applied to the tumor-region image patch.
Background pixels were replaced by the tumor-region mean intensity.
The DC component was removed before spectral analysis.
The Fourier power spectrum was analyzed using radial and angular frequency coordinates.
Patient-level values were calculated as the mean of the valid tumor-containing CT slices.
No skimage texture functions were used.

FEATURE COVERAGE
---------------------------------------------------------------------------
Spectral_Energy: 420/422 (99.53%)
Spectral_Entropy: 420/422 (99.53%)
Dominant_Frequency: 420/422 (99.53%)
Fundamental_Period: 420/422 (99.53%)
Dominant_Orientation: 420/422 (99.53%)
Radial_Mean: 420/422 (99.53%)
Radial_Variance: 420/422 (99.53%)
Radial_Peak_Frequency: 420/422 (99.53%)
Angular_Mean: 420/422 (99.53%)
Angular_Variance: 420/422 (99.53%)
Angular_Peak_Orientation: 420/422 (99.53%)

PROCESSING STATUS
---------------------------------------------------------------------------
LUNG1-001 | SUCCESS | Spectral texture calculated
LUNG1-002 | SUCCESS | Spectral texture calculated
LUNG1-003 | SUCCESS | Spectral texture calculated
LUNG1-004 | SUCCESS | Spectral texture calculated
LUNG1-005 | SUCCESS | Spectral texture calculated
LUNG1-006 | SUCCESS | Spectral texture calculated
LUNG1-007 | SUCCESS | Spectral texture calculated
LUNG1-008 | SUCCESS | Spectral texture calculated
LUNG1-009 | SUCCESS | Spectral texture calculated
LUNG1-010 | SUCCESS | Spectral texture calculated
LUNG1-011 | SUCCESS | Spectral texture calculated
LUNG1-012 | SUCCESS | Spectral texture calculated
LUNG1-013 | SUCCESS | Spectral texture calculated
LUNG1-014 | SUCCESS | Spectral texture calculated
LUNG1-015 | SUCCESS | Spectral texture calculated
LUNG1-016 | SUCCESS | Spectral texture calculated
LUNG1-017 | SUCCESS | Spectral texture calculated
LUNG1-018 | SUCCESS | Spectral texture calculated
LUNG1-019 | SUCCESS | Spectral texture calculated
LUNG1-020 | SUCCESS | Spectral texture calculated
LUNG1-021 | SUCCESS | Spectral texture calculated
LUNG1-022 | SUCCESS | Spectral texture calculated
LUNG1-023 | SUCCESS | Spectral texture calculated
LUNG1-024 | FAILED | GTV1_MASK_NOT_FOUND
LUNG1-025 | SUCCESS | Spectral texture calculated
LUNG1-026 | SUCCESS | Spectral texture calculated
LUNG1-027 | SUCCESS | Spectral texture calculated
LUNG1-028 | SUCCESS | Spectral texture calculated
LUNG1-029 | SUCCESS | Spectral texture calculated
LUNG1-030 | SUCCESS | Spectral texture calculated
LUNG1-031 | SUCCESS | Spectral texture calculated
LUNG1-032 | SUCCESS | Spectral texture calculated
LUNG1-033 | SUCCESS | Spectral texture calculated
LUNG1-034 | SUCCESS | Spectral texture calculated
LUNG1-035 | SUCCESS | Spectral texture calculated
LUNG1-036 | SUCCESS | Spectral texture calculated
