Fold,Feature,Selected,Training_Absolute_Correlation
1,Angular_Mean,1,0.009837184382185865
1,Angular_Variance,1,0.038912026282915624
1,GLCM_Entropy,1,0.20407009578962448
1,GLCM_Homogeneity,1,0.2588836636375764
1,LBP_Entropy,1,0.2202309782922603
1,LBP_Mean,1,0.09120557540458912
1,LBP_Variance,1,0.20179709874484994
1,Spectral_Entropy,1,0.11877359469642676
1,Statistical_Entropy,1,0.2188705649392418
2,Angular_Mean,1,0.008422279315900073
2,Angular_Variance,1,0.05250248623476717
2,GLCM_Entropy,1,0.20544221476196906
2,GLCM_Homogeneity,1,0.2511846370179362
2,LBP_Entropy,1,0.20944693970565192
2,LBP_Mean,1,0.07388761227799175
2,LBP_Variance,1,0.20637562335847548
2,Spectral_Entropy,1,0.10786129601235367
2,Statistical_Entropy,1,0.2089173903904039
3,Angular_Mean,1,0.0845605094119331
3,Angular_Variance,1,0.030837640560809884
3,GLCM_Entropy,1,0.18504910014821727
3,GLCM_Homogeneity,1,0.22293826394194932
3,LBP_Entropy,1,0.19605690599860395
3,LBP_Mean,1,0.08220108512655977
3,LBP_Variance,1,0.21689068094519143
3,Spectral_Entropy,1,0.12709770952693117
3,Statistical_Entropy,1,0.20353344956038338
4,Angular_Mean,1,0.026164507729139294
4,Angular_Variance,1,0.053075564225009246
4,GLCM_Entropy,1,0.10795980140701349
4,GLCM_Homogeneity,1,0.15064414557457242
4,LBP_Entropy,1,0.14568987078482715
4,LBP_Mean,1,0.0642999797957882
4,LBP_Variance,1,0.12598666849499562
4,Spectral_Entropy,1,0.08804339699485904
4,Statistical_Entropy,1,0.12046397831252344
5,Angular_Mean,1,0.03539315691180546
5,Angular_Variance,1,0.024836062568040045
5,GLCM_Entropy,1,0.165497017099518
5,GLCM_Homogeneity,1,0.2069865627582317
5,LBP_Entropy,1,0.16707524120397485
5,LBP_Mean,1,0.12498108034470856
5,LBP_Variance,1,0.16398069267249502
5,Spectral_Entropy,1,0.12920082756526932
5,Statistical_Entropy,1,0.16818835827687287
