Fold,Feature,Selected
1,Angular_Mean,False
1,Angular_Variance,False
1,GLCM_Entropy,True
1,GLCM_Homogeneity,True
1,LBP_Entropy,True
1,LBP_Mean,False
1,LBP_Variance,True
1,Spectral_Entropy,False
1,Statistical_Entropy,True
2,Angular_Mean,False
2,Angular_Variance,False
2,GLCM_Entropy,True
2,GLCM_Homogeneity,True
2,LBP_Entropy,True
2,LBP_Mean,False
2,LBP_Variance,True
2,Spectral_Entropy,False
2,Statistical_Entropy,True
3,Angular_Mean,False
3,Angular_Variance,False
3,GLCM_Entropy,True
3,GLCM_Homogeneity,True
3,LBP_Entropy,True
3,LBP_Mean,False
3,LBP_Variance,True
3,Spectral_Entropy,False
3,Statistical_Entropy,True
4,Angular_Mean,False
4,Angular_Variance,False
4,GLCM_Entropy,True
4,GLCM_Homogeneity,True
4,LBP_Entropy,True
4,LBP_Mean,False
4,LBP_Variance,True
4,Spectral_Entropy,False
4,Statistical_Entropy,True
5,Angular_Mean,False
5,Angular_Variance,False
5,GLCM_Entropy,True
5,GLCM_Homogeneity,True
5,LBP_Entropy,True
5,LBP_Mean,False
5,LBP_Variance,True
5,Spectral_Entropy,False
5,Statistical_Entropy,True
